,PSC [-],DAC [-],CCU methanol production [Mt]
CAZ,0.007564082,0.989166197,0.698192673
CHA,8.267337312,0,8.267337312
EUR,0.167117991,0.938450544,2.715182255
IND,0.012987453,0.994631913,2.419382159
JPN,0.010974052,0.980846179,0.572943209
LAM,0.00904827,0.995090709,1.84309095
MEA,2.316052437,0,2.316052437
NEU,0.416457279,0,0.416457279
OAS,3.828502587,0,3.828502587
REF,0.30220955,0.688542754,0.970308299
SSA,0.745954055,0.403795217,1.251170868
USA,0.039931849,0.988159186,3.372390552
