,PSC [-],DAC [-],CCU methanol production [Mt]
CAZ,1.510532833,0,1.510532833
CHA,13.74406615,0,13.74406615
EUR,5.7340941,0,5.7340941
IND,0,0,0
JPN,1.497756593,0,1.497756593
LAM,0.020439066,0.991654838,2.449211504
MEA,3.046003881,0,3.046003881
NEU,0.77066761,0,0.77066761
OAS,4.830170424,0,4.830170424
REF,1.944608213,0,1.944608213
SSA,1.11222442,0,1.11222442
USA,7.310872685,0,7.310872685
